id,name,region,type,area_sq_km,damage_percent,type_of_damage,new_type,budget_million_usd,success_rate_percent,recovery_priority,duration,funding_source
1478,Location 1478,14,2,16.64,31.5,5,3,190.5,75.8,3,328,6
1479,Location 1479,23,3,24.03,74.2,5,1,359.38,79.8,2,165,4
1480,Location 1480,17,3,25.62,41.5,7,5,29.74,53.2,2,116,2
1481,Location 1481,18,3,10.84,69.6,6,5,199.34,58.2,3,150,5
1482,Location 1482,19,2,16.44,65.3,3,2,209.1,77.6,1,518,4
1483,Location 1483,17,3,39.78,30.9,2,2,91.75,64.7,2,32,3
1484,Location 1484,14,2,45.87,55.4,4,1,21.31,57.2,3,657,1
1485,Location 1485,9,3,18.63,72.1,2,2,75.36,55.2,2,293,5
1486,Location 1486,8,5,16.04,89.4,2,4,330.76,76.3,3,689,6
1487,Location 1487,2,5,10.56,92.2,7,2,403.12,76.8,1,177,2
1488,Location 1488,13,2,34.25,63.9,1,2,494.22,91.6,2,61,5
1489,Location 1489,25,5,16.83,81.0,5,4,179.72,67.4,1,589,3
1490,Location 1490,7,2,49.4,52.2,5,1,303.7,83.6,1,416,1
1491,Location 1491,9,5,16.96,54.0,5,4,469.2,95.0,3,383,5
1492,Location 1492,22,5,20.31,43.6,1,5,91.85,72.2,2,598,6
1493,Location 1493,22,2,30.56,69.3,7,4,361.65,74.2,2,7,2
1494,Location 1494,11,4,40.28,52.0,3,3,379.94,79.9,2,85,5
1495,Location 1495,14,5,24.01,35.9,3,5,53.6,72.0,2,398,1
1496,Location 1496,4,3,21.71,78.0,7,2,432.01,83.6,2,393,6
1497,Location 1497,26,4,49.79,79.5,4,5,408.42,72.1,3,47,5
1498,Location 1498,26,2,1.51,55.2,3,1,26.37,55.2,2,341,2
1499,Location 1499,13,4,44.86,35.4,7,1,54.63,63.7,1,498,1
1500,Location 1500,2,1,8.31,59.8,3,4,34.07,62.4,1,606,3
1501,Location 1501,23,1,39.51,61.0,5,5,174.02,71.0,2,478,3
1502,Location 1502,5,5,31.28,76.8,6,2,259.55,64.6,3,426,4
1503,Location 1503,11,5,17.75,52.1,7,1,270.85,71.7,3,426,5
1504,Location 1504,6,3,43.82,77.8,2,2,141.16,58.7,2,515,2
1505,Location 1505,18,4,1.63,91.0,3,3,456.68,84.4,1,129,5
1506,Location 1506,21,1,12.11,46.6,3,1,190.45,76.4,2,249,1
1507,Location 1507,10,5,28.78,98.5,1,4,32.32,50.0,2,131,4
1508,Location 1508,4,4,18.23,57.0,4,3,157.11,74.6,2,689,2
1509,Location 1509,9,5,30.91,48.7,6,5,270.24,79.2,3,323,5
1510,Location 1510,6,5,2.18,59.5,1,2,210.03,71.7,3,543,2
1511,Location 1511,2,1,6.71,36.6,5,1,144.18,80.4,1,66,1
1512,Location 1512,17,1,7.23,38.8,2,3,74.35,68.8,1,101,4
1513,Location 1513,5,5,10.27,59.0,4,3,411.39,84.0,2,31,2
1514,Location 1514,25,2,23.51,83.4,1,1,498.11,90.3,1,191,1
1515,Location 1515,6,5,37.85,93.0,7,5,171.48,57.1,2,578,3
1516,Location 1516,26,5,45.37,76.5,3,5,196.99,65.8,1,415,2
1517,Location 1517,12,3,41.93,37.4,3,4,312.84,86.8,2,500,4
1518,Location 1518,23,3,10.65,77.0,4,5,362.04,81.4,3,595,6
1519,Location 1519,21,3,22.62,74.5,3,4,202.09,59.6,2,46,6
1520,Location 1520,10,2,10.77,86.4,7,3,453.42,74.9,3,89,2
1521,Location 1521,22,2,13.96,87.8,1,1,284.4,73.7,3,698,2
1522,Location 1522,21,5,25.67,90.8,1,5,230.69,67.2,1,375,1
1523,Location 1523,25,3,4.34,59.0,3,4,326.87,80.3,1,246,5
1524,Location 1524,6,2,11.69,78.9,3,3,476.87,88.9,3,558,6
1525,Location 1525,8,1,46.83,48.8,5,5,399.33,87.0,2,257,5
1526,Location 1526,2,5,23.84,100.0,2,2,29.61,50.0,2,352,6
1527,Location 1527,12,4,22.82,42.3,4,3,172.83,79.6,1,573,2
1528,Location 1528,13,5,1.71,30.7,1,5,240.57,89.5,2,105,4
1529,Location 1529,25,4,13.12,40.4,4,3,164.11,71.0,2,337,4
1530,Location 1530,21,3,43.45,84.3,5,1,353.09,74.5,2,526,6
1531,Location 1531,7,4,9.07,61.3,1,1,414.87,85.5,3,301,6
1532,Location 1532,10,3,21.34,61.3,5,1,368.36,78.1,3,77,1
1533,Location 1533,13,1,1.7,96.9,5,2,494.77,90.7,2,511,2
1534,Location 1534,17,4,24.44,94.4,6,1,143.55,53.1,1,230,2
1535,Location 1535,26,5,2.03,51.8,3,2,438.74,95.0,2,679,5
1536,Location 1536,21,3,41.16,44.6,7,1,385.65,90.6,1,578,1
1537,Location 1537,26,5,41.42,89.4,6,3,187.47,50.0,3,32,3
1538,Location 1538,14,2,39.6,93.4,4,5,369.72,82.6,2,608,4
1539,Location 1539,2,3,14.88,67.9,7,5,61.0,50.0,2,58,4
1540,Location 1540,22,4,42.02,74.1,4,1,396.77,81.4,1,104,2
1541,Location 1541,11,3,27.61,48.0,3,5,270.84,82.3,1,312,1
1542,Location 1542,1,5,19.32,86.1,7,1,153.22,58.4,2,646,3
1543,Location 1543,19,1,31.64,74.2,6,1,331.33,72.8,2,67,4
1544,Location 1544,21,3,1.6,65.2,4,4,324.39,87.7,1,690,1
1545,Location 1545,4,4,8.01,34.2,6,4,112.65,75.6,3,374,3
1546,Location 1546,19,2,37.37,94.1,3,4,24.89,50.0,1,235,6
1547,Location 1547,26,1,12.96,73.1,7,2,222.48,68.4,2,643,2
1548,Location 1548,21,2,30.3,43.5,7,4,289.06,71.4,3,112,5
1549,Location 1549,11,3,19.87,72.4,1,1,439.54,86.9,3,389,4
1550,Location 1550,8,5,42.89,77.4,5,3,464.83,87.0,3,408,4
1551,Location 1551,11,5,47.67,66.8,5,4,269.11,65.0,3,54,3
1552,Location 1552,4,4,44.29,80.3,6,4,379.36,73.0,2,239,5
1553,Location 1553,17,5,14.26,70.7,7,3,225.26,61.3,3,295,6
1554,Location 1554,7,1,10.51,96.3,4,1,375.58,76.2,1,112,1
1555,Location 1555,8,5,24.25,33.8,6,2,110.35,66.4,1,88,2
1556,Location 1556,3,4,1.36,37.4,6,4,191.82,87.4,1,476,1
1557,Location 1557,22,3,2.26,42.2,2,3,320.77,91.4,2,304,3
1558,Location 1558,2,3,28.11,78.3,7,1,18.9,50.0,3,305,4
1559,Location 1559,23,5,26.5,75.2,5,5,364.01,82.7,1,290,6
1560,Location 1560,15,2,49.73,92.4,7,2,419.41,73.7,1,208,4
1561,Location 1561,24,3,10.89,81.3,3,3,205.58,73.6,1,582,1
1562,Location 1562,22,5,13.65,65.6,6,3,229.49,64.3,3,370,6
1563,Location 1563,22,4,6.56,99.4,2,3,427.13,81.6,1,220,2
1564,Location 1564,5,5,45.96,48.6,2,4,390.07,82.9,3,231,3
1565,Location 1565,24,3,39.11,88.3,5,5,151.19,58.3,3,349,2
1566,Location 1566,1,4,41.29,59.9,5,2,168.75,60.7,3,255,3
1567,Location 1567,26,5,45.24,75.4,5,1,342.65,77.0,2,452,2
1568,Location 1568,4,1,26.72,80.9,3,1,285.97,71.8,2,142,1
1569,Location 1569,15,4,23.11,74.4,2,5,89.49,50.0,3,69,5
1570,Location 1570,20,1,17.19,39.8,4,3,161.87,63.4,3,89,6
1571,Location 1571,19,2,29.87,61.0,3,3,450.99,92.6,2,136,3
1572,Location 1572,3,4,23.26,69.3,1,3,347.21,87.1,2,655,1
1573,Location 1573,20,1,23.13,89.4,6,3,493.13,86.4,3,699,4
1574,Location 1574,11,3,46.91,61.1,5,3,385.84,86.1,2,523,4
1575,Location 1575,17,3,49.22,94.3,2,5,471.57,90.4,1,660,2
1576,Location 1576,13,2,40.03,60.8,6,4,115.93,56.2,3,442,4
1577,Location 1577,11,4,38.08,68.4,7,2,388.03,72.3,3,38,5
1578,Location 1578,2,4,34.35,85.7,3,3,19.91,50.0,2,208,3
1579,Location 1579,9,4,9.14,70.8,1,4,338.67,83.5,1,210,2
1580,Location 1580,26,2,3.9,97.2,7,1,239.95,61.2,2,513,3
1581,Location 1581,2,4,34.85,76.2,3,5,179.91,67.5,1,360,3
1582,Location 1582,21,3,36.71,66.6,3,4,432.58,95.0,1,577,1
1583,Location 1583,9,1,3.3,31.7,4,3,428.59,95.0,3,1,4
1584,Location 1584,9,3,46.47,59.0,6,3,20.93,51.2,1,381,6
1585,Location 1585,8,3,5.47,50.9,4,3,308.66,85.1,3,537,3
1586,Location 1586,17,1,15.01,82.4,3,4,190.24,65.2,1,394,5
1587,Location 1587,1,3,33.95,44.6,1,3,213.67,72.2,3,50,5
1588,Location 1588,25,2,9.32,44.4,2,4,417.7,95.0,1,396,6
1589,Location 1589,11,1,3.72,43.3,2,3,161.82,66.6,2,32,4
1590,Location 1590,8,3,17.23,38.8,7,1,472.09,95.0,1,545,4
1591,Location 1591,10,5,38.53,51.8,6,1,98.02,56.2,2,234,2
1592,Location 1592,25,3,21.27,92.0,5,2,334.73,70.5,1,26,2
1593,Location 1593,7,2,33.0,84.2,5,3,339.33,82.7,1,554,2
1594,Location 1594,3,4,29.4,81.5,2,3,133.58,58.8,3,434,4
1595,Location 1595,3,3,2.09,85.8,3,4,169.13,60.5,1,61,3
1596,Location 1596,18,4,49.44,48.9,3,4,419.05,95.0,1,553,1
1597,Location 1597,5,5,3.03,92.1,4,3,383.28,78.8,1,441,6
1598,Location 1598,12,3,48.42,39.6,6,2,171.26,61.9,2,130,6
1599,Location 1599,12,1,27.94,53.5,4,3,271.64,75.4,3,354,6
1600,Location 1600,19,4,48.19,71.1,5,4,40.22,50.0,3,198,2
1601,Location 1601,6,5,6.62,37.2,2,3,112.29,79.8,1,663,1
1602,Location 1602,2,1,25.03,81.1,7,4,248.05,71.2,1,694,5
1603,Location 1603,12,1,9.31,57.1,3,3,52.13,58.4,2,371,4
1604,Location 1604,19,1,3.5,84.9,2,5,423.23,84.4,1,147,5
1605,Location 1605,5,1,31.26,64.5,1,4,361.82,82.6,3,498,2
1606,Location 1606,12,3,11.18,42.7,2,2,472.38,94.5,3,48,3
1607,Location 1607,17,3,29.8,81.4,1,5,349.8,82.8,2,651,2
1608,Location 1608,17,3,6.51,47.7,4,3,470.8,95.0,2,172,1
1609,Location 1609,10,5,17.27,64.4,4,4,281.71,76.9,3,613,2
1610,Location 1610,25,5,39.3,35.3,5,5,304.11,93.5,2,699,6
1611,Location 1611,23,5,22.42,73.3,2,2,488.72,95.0,1,315,3
1612,Location 1612,17,2,31.76,76.6,2,4,324.64,80.9,1,376,3
1613,Location 1613,15,5,32.73,56.5,1,5,25.09,56.4,2,533,4
1614,Location 1614,12,3,42.34,96.8,4,5,364.66,71.5,3,420,4
1615,Location 1615,16,3,16.92,91.2,1,5,453.68,82.9,2,396,6
1616,Location 1616,24,2,34.68,79.6,4,1,399.83,86.1,3,522,3
1617,Location 1617,19,2,48.12,80.0,1,3,296.08,68.6,2,187,6
1618,Location 1618,8,5,36.78,47.7,4,4,338.94,92.4,2,645,3
1619,Location 1619,21,4,25.0,76.0,1,4,495.19,87.9,2,33,1
1620,Location 1620,17,2,31.91,43.9,7,4,54.42,57.1,1,69,2
1621,Location 1621,23,1,37.24,40.1,4,5,336.95,95.0,1,592,4
1622,Location 1622,5,3,31.0,100.0,6,3,148.86,50.0,3,191,1
1623,Location 1623,22,1,1.82,73.6,1,2,323.64,74.8,2,101,2
1624,Location 1624,16,3,10.54,60.2,2,4,307.74,84.6,1,485,4
1625,Location 1625,6,3,40.71,50.2,5,3,85.19,56.2,2,285,6
1626,Location 1626,8,2,14.36,72.3,6,3,111.31,54.8,3,390,1
1627,Location 1627,25,2,36.85,33.5,6,1,314.6,87.0,1,565,5
1628,Location 1628,18,1,19.23,36.6,1,4,72.83,60.2,3,160,5
1629,Location 1629,25,3,26.57,32.3,5,5,139.94,77.2,1,554,4
1630,Location 1630,12,1,4.33,64.9,2,3,419.27,85.3,2,47,1
1631,Location 1631,15,4,9.88,72.0,6,3,170.27,54.0,3,159,2
1632,Location 1632,26,1,47.9,34.4,2,2,249.15,83.1,1,446,2
1633,Location 1633,9,5,44.62,80.5,4,1,471.16,95.0,1,696,1
1634,Location 1634,13,1,32.96,46.1,7,3,121.3,65.1,2,523,5
1635,Location 1635,26,5,23.52,78.0,5,3,200.92,67.3,3,666,1
1636,Location 1636,15,5,34.11,98.7,7,5,307.16,56.9,3,155,5
1637,Location 1637,10,5,31.31,78.4,3,5,380.12,76.0,3,339,5
1638,Location 1638,16,4,28.86,91.8,4,2,451.81,82.1,2,365,6
1639,Location 1639,7,1,3.9,96.4,5,2,458.58,90.2,1,699,6
1640,Location 1640,17,1,32.01,64.1,1,2,390.55,93.4,1,574,2
1641,Location 1641,23,4,38.68,79.2,7,5,121.88,50.3,3,148,4
1642,Location 1642,26,3,49.71,89.6,1,5,22.16,50.0,1,144,3
1643,Location 1643,21,2,1.54,55.0,2,1,198.05,65.6,3,103,1
1644,Location 1644,22,1,36.78,48.3,6,4,79.36,53.5,2,93,5
1645,Location 1645,26,2,29.02,96.3,7,4,358.09,69.1,2,286,1
1646,Location 1646,7,4,22.27,80.8,3,1,333.95,78.3,2,424,4
1647,Location 1647,14,3,7.25,45.4,1,4,31.55,56.3,3,119,4
1648,Location 1648,15,3,21.05,61.4,5,5,419.93,87.1,1,29,3
1649,Location 1649,21,3,18.36,85.8,7,4,131.88,54.5,2,511,3
1650,Location 1650,7,4,15.84,68.3,7,5,221.79,57.9,3,30,5
1651,Location 1651,9,5,36.81,75.5,6,1,337.29,73.3,3,366,6
1652,Location 1652,19,5,35.34,82.8,6,2,220.42,61.2,2,138,3
1653,Location 1653,16,2,29.86,73.5,5,1,226.23,68.2,2,475,6
1654,Location 1654,8,5,46.99,67.8,6,4,42.16,50.0,2,563,6
1655,Location 1655,18,5,18.14,82.5,1,5,206.71,67.7,1,392,5
1656,Location 1656,23,3,12.95,80.9,5,4,384.78,87.1,1,435,2
1657,Location 1657,18,3,33.14,74.1,5,4,458.44,85.9,3,234,6
1658,Location 1658,20,2,10.74,55.2,2,2,212.61,65.2,2,55,5
1659,Location 1659,7,1,16.44,58.4,3,4,217.56,72.1,2,292,3
1660,Location 1660,3,2,12.01,97.9,7,2,354.29,73.7,1,312,1
1661,Location 1661,18,2,4.39,37.9,2,5,471.96,95.0,2,548,3
1662,Location 1662,10,4,41.55,48.8,3,5,140.86,57.9,3,89,4
1663,Location 1663,7,4,13.47,64.5,5,2,225.67,70.0,2,212,3
1664,Location 1664,17,2,24.18,88.6,7,1,400.03,79.6,1,318,2
1665,Location 1665,14,2,3.12,41.5,6,5,308.75,81.8,3,465,5
1666,Location 1666,24,2,35.27,49.4,3,1,64.19,55.7,3,87,6
1667,Location 1667,3,5,17.2,34.6,5,5,317.59,95.0,2,409,4
1668,Location 1668,12,4,37.49,79.4,5,5,101.51,50.7,3,240,5
1669,Location 1669,13,2,21.21,46.7,2,3,260.01,84.2,2,700,5
1670,Location 1670,2,3,10.59,57.2,2,4,269.26,71.8,2,57,6
1671,Location 1671,3,3,26.15,61.1,6,4,439.34,89.1,1,113,3
1672,Location 1672,5,5,7.39,92.4,4,1,236.62,57.0,3,70,1
1673,Location 1673,11,5,22.59,58.8,1,4,146.93,70.2,2,692,4
1674,Location 1674,8,1,16.55,40.2,4,1,123.17,71.1,2,184,6
1675,Location 1675,26,1,45.69,66.7,4,5,438.38,85.8,2,276,2
1676,Location 1676,23,1,3.99,97.4,7,3,93.8,50.0,3,233,2
1677,Location 1677,23,5,35.01,72.5,7,3,218.68,59.8,3,54,1
1678,Location 1678,12,5,9.95,98.8,6,5,101.71,50.0,3,257,1
1679,Location 1679,7,5,16.63,88.9,7,2,388.92,72.2,2,90,3
1680,Location 1680,15,3,21.36,32.5,3,2,242.44,83.1,3,663,2
1681,Location 1681,24,5,45.49,76.1,6,4,182.06,60.8,2,435,4
1682,Location 1682,17,3,12.89,50.1,6,1,186.94,68.4,3,625,6
1683,Location 1683,4,1,5.47,69.2,5,3,427.58,90.0,3,408,1
1684,Location 1684,22,1,16.62,49.6,5,4,281.35,80.2,2,269,1
1685,Location 1685,25,1,6.13,54.4,5,5,361.76,87.9,3,669,1
1686,Location 1686,13,2,7.3,94.6,1,3,449.55,83.1,2,366,6
1687,Location 1687,18,2,29.12,44.5,3,1,451.85,95.0,3,351,4
1688,Location 1688,1,4,3.98,91.2,3,1,170.97,55.6,3,299,2
1689,Location 1689,16,4,2.52,32.1,5,2,476.7,95.0,3,159,4
1690,Location 1690,13,4,36.01,36.4,4,4,22.19,65.2,3,487,6
1691,Location 1691,10,2,18.72,89.8,1,5,194.65,65.4,1,526,4
1692,Location 1692,12,2,7.14,74.1,4,3,448.94,89.8,2,355,3
1693,Location 1693,2,4,13.43,82.3,2,1,144.57,64.3,1,621,6
1694,Location 1694,23,4,32.46,44.7,3,3,143.81,69.8,3,401,1
1695,Location 1695,3,5,14.5,67.6,3,5,158.28,64.7,3,405,2
1696,Location 1696,10,4,25.23,81.6,4,3,310.03,69.2,2,96,3
1697,Location 1697,2,5,6.96,73.9,1,4,224.78,72.3,2,570,3
1698,Location 1698,23,3,29.82,63.0,3,2,366.1,84.9,2,392,6
1699,Location 1699,13,2,16.49,97.2,4,3,448.51,82.1,2,352,5
1700,Location 1700,13,4,31.72,77.3,6,2,340.36,78.3,3,666,1
1701,Location 1701,18,2,40.61,93.5,6,5,110.19,50.3,2,576,2
1702,Location 1702,3,2,30.97,81.1,7,2,467.01,93.9,1,670,2
1703,Location 1703,7,2,15.49,81.5,1,3,139.6,63.2,2,633,2
1704,Location 1704,14,3,13.53,35.6,4,3,83.45,71.3,2,288,6
1705,Location 1705,20,1,17.04,55.2,7,1,54.08,58.3,1,523,1
1706,Location 1706,17,4,9.07,90.1,6,3,286.06,64.5,1,162,6
1707,Location 1707,21,1,9.88,46.3,1,2,65.74,68.3,1,617,2
1708,Location 1708,12,1,39.74,38.1,7,1,78.0,74.3,1,659,4
1709,Location 1709,25,1,19.85,52.8,5,3,157.01,64.6,2,182,4
1710,Location 1710,16,2,22.36,45.4,1,3,148.01,75.1,1,549,1
1711,Location 1711,24,5,30.11,94.8,2,5,306.08,66.8,3,82,2
1712,Location 1712,12,2,29.89,90.8,5,1,410.21,81.9,2,524,6
1713,Location 1713,15,2,4.3,65.0,7,5,383.06,71.3,3,4,5
1714,Location 1714,25,1,41.75,34.3,4,5,138.62,67.7,2,495,5
1715,Location 1715,10,2,9.69,80.0,5,5,130.2,57.7,2,555,5
1716,Location 1716,25,1,36.43,73.6,5,4,483.24,84.7,3,51,4
1717,Location 1717,7,5,38.86,97.9,7,5,14.04,50.0,1,261,6
1718,Location 1718,20,4,36.03,69.1,4,2,441.06,86.3,1,134,5
1719,Location 1719,5,1,29.37,53.5,4,3,107.87,63.8,3,599,2
1720,Location 1720,1,5,1.72,66.3,6,4,474.17,92.4,1,362,2
1721,Location 1721,17,4,18.66,98.5,2,5,177.73,58.9,2,568,5
1722,Location 1722,3,3,30.64,78.7,4,3,225.77,67.0,2,217,3
1723,Location 1723,13,1,19.99,77.0,3,1,356.49,75.4,2,68,5
1724,Location 1724,14,1,43.31,46.8,3,1,297.96,93.6,1,556,3
1725,Location 1725,24,3,16.13,82.1,2,3,165.79,63.5,1,143,1
1726,Location 1726,18,3,15.38,82.5,1,2,281.38,70.9,3,346,1
1727,Location 1727,4,1,14.03,52.2,7,3,368.05,89.5,2,554,2
1728,Location 1728,18,3,17.31,63.9,1,3,30.74,55.5,3,651,6
1729,Location 1729,5,2,28.31,50.6,3,4,15.49,61.0,1,585,4
1730,Location 1730,25,4,35.64,48.1,4,1,234.45,69.2,3,194,6
1731,Location 1731,16,4,33.47,31.8,2,1,74.6,73.9,1,667,2
1732,Location 1732,1,4,40.58,50.0,1,5,335.53,80.7,2,246,2
1733,Location 1733,21,2,44.41,68.8,1,3,114.89,54.0,2,314,6
1734,Location 1734,14,3,40.99,30.1,7,3,222.1,84.9,1,384,4
1735,Location 1735,15,5,1.93,49.8,5,2,106.86,65.2,1,277,2
1736,Location 1736,9,3,37.06,91.7,3,1,278.76,70.1,1,72,4
1737,Location 1737,15,1,11.21,71.6,4,2,66.87,50.2,2,129,2
1738,Location 1738,17,4,7.51,72.6,2,4,21.32,54.0,1,358,1
1739,Location 1739,25,3,32.29,58.2,1,5,35.05,59.2,2,698,3
1740,Location 1740,24,5,16.67,77.4,7,2,477.59,89.9,3,525,2
1741,Location 1741,4,1,3.8,43.3,5,1,79.72,69.7,2,220,3
1742,Location 1742,12,2,7.74,87.3,3,4,357.15,68.6,3,6,5
1743,Location 1743,26,2,1.05,38.2,3,3,43.28,69.6,2,624,2
1744,Location 1744,5,5,45.26,75.9,7,4,63.0,50.0,2,228,1
1745,Location 1745,5,1,2.21,53.9,2,2,259.35,74.3,1,17,4
1746,Location 1746,11,4,11.26,82.3,1,1,237.79,70.3,2,585,1
1747,Location 1747,6,3,21.4,68.5,2,2,476.27,91.0,1,12,3
1748,Location 1748,7,1,18.47,61.7,7,3,472.97,95.0,1,598,4
1749,Location 1749,24,2,45.67,41.9,7,3,392.01,93.8,1,499,1
1750,Location 1750,14,5,2.97,74.6,2,1,305.03,83.2,2,692,1
1751,Location 1751,24,5,26.1,98.2,6,5,232.93,68.0,1,634,1
1752,Location 1752,11,3,34.34,87.8,5,4,184.53,58.7,3,502,6
1753,Location 1753,13,5,46.65,34.2,3,4,474.07,95.0,3,70,4
1754,Location 1754,2,5,31.4,56.3,6,3,305.43,74.1,2,108,1
1755,Location 1755,25,1,40.38,94.8,4,2,293.75,65.4,1,201,1
1756,Location 1756,7,4,5.1,65.2,3,2,123.63,56.1,3,52,3
1757,Location 1757,20,3,19.91,76.3,3,5,32.88,51.7,2,549,1
1758,Location 1758,4,1,19.32,93.9,5,2,473.14,92.3,2,629,1
1759,Location 1759,8,4,44.43,91.2,4,4,163.73,53.3,2,259,5
1760,Location 1760,20,1,8.42,65.1,1,2,226.87,71.8,2,482,4
1761,Location 1761,22,1,8.44,60.6,4,5,66.17,55.2,2,264,5
1762,Location 1762,21,5,17.1,53.8,1,4,420.09,92.2,1,303,6
1763,Location 1763,19,4,3.67,80.3,4,2,23.54,57.1,1,576,3
1764,Location 1764,13,3,9.94,50.1,2,4,418.66,95.0,1,554,5
1765,Location 1765,14,3,48.3,47.5,7,3,78.74,67.2,1,555,6
1766,Location 1766,10,4,21.98,54.9,4,3,444.42,89.6,2,125,2
1767,Location 1767,11,5,31.97,42.4,6,3,367.59,85.1,2,270,4
1768,Location 1768,2,2,36.58,78.7,6,2,90.69,51.3,3,480,1
1769,Location 1769,25,1,18.98,73.1,5,5,287.25,66.0,3,132,5
1770,Location 1770,26,5,8.21,63.8,7,4,163.2,57.4,1,2,5
1771,Location 1771,9,4,11.12,57.3,7,1,97.33,56.9,2,115,1
1772,Location 1772,17,1,16.35,93.6,1,3,431.0,82.4,3,481,1
1773,Location 1773,26,3,32.17,32.0,3,3,207.73,76.6,3,1,3
1774,Location 1774,3,2,20.52,83.8,5,1,205.29,61.3,3,331,5
1775,Location 1775,24,3,1.33,93.1,6,1,93.24,50.0,3,577,5
1776,Location 1776,6,4,26.65,61.2,6,2,197.7,72.4,1,637,2
1777,Location 1777,5,1,46.15,68.5,1,4,437.09,83.8,2,391,6
1778,Location 1778,5,4,40.79,96.1,6,3,187.93,50.5,1,143,2
1779,Location 1779,22,1,41.44,44.9,6,5,476.29,89.2,3,328,5
1780,Location 1780,15,5,39.96,66.4,1,2,473.69,94.2,3,628,2
1781,Location 1781,23,2,16.86,63.2,6,2,81.0,54.4,2,377,5
1782,Location 1782,17,5,38.49,48.1,3,5,96.88,66.1,2,90,4
1783,Location 1783,9,5,8.01,87.3,2,5,432.71,85.0,1,42,3
1784,Location 1784,3,4,33.23,93.0,5,5,202.45,58.2,2,35,2
1785,Location 1785,20,2,32.44,84.7,3,1,12.14,50.0,1,494,5
1786,Location 1786,26,1,2.25,43.7,3,3,144.2,75.3,1,553,2
1787,Location 1787,17,1,39.61,36.1,2,1,302.84,84.9,3,124,6
1788,Location 1788,10,3,45.26,72.4,7,3,401.64,75.7,1,57,3
1789,Location 1789,3,1,14.1,34.0,5,1,75.36,72.4,3,456,4
1790,Location 1790,18,4,40.81,77.1,3,4,64.17,52.9,1,235,1
1791,Location 1791,18,5,5.04,67.1,6,3,461.83,95.0,1,608,1
1792,Location 1792,17,5,30.4,76.4,2,2,378.06,83.1,2,392,2
1793,Location 1793,24,5,24.8,71.3,7,3,298.99,74.8,2,492,5
1794,Location 1794,3,2,27.75,59.6,5,3,386.9,85.0,3,343,6
1795,Location 1795,3,1,46.38,44.1,4,3,220.14,79.5,2,644,3
1796,Location 1796,6,4,43.69,51.4,1,4,381.64,86.5,1,176,4
1797,Location 1797,13,2,39.47,66.7,6,1,192.18,59.0,3,52,4
1798,Location 1798,24,3,14.41,75.6,2,2,129.61,62.8,3,550,4
1799,Location 1799,15,4,45.68,84.6,1,1,367.22,74.0,3,478,1
1800,Location 1800,25,4,5.78,83.7,7,1,215.64,64.5,1,489,3
1801,Location 1801,9,4,42.81,98.1,7,5,490.87,76.8,2,5,1
1802,Location 1802,4,5,17.08,50.0,4,4,181.25,76.0,3,632,2
1803,Location 1803,14,4,3.63,35.0,3,5,461.65,95.0,1,209,4
1804,Location 1804,5,1,33.8,54.2,3,4,467.15,93.2,2,217,3
1805,Location 1805,2,4,12.33,82.0,5,1,128.51,60.7,2,536,4
1806,Location 1806,11,5,12.93,60.7,2,1,401.13,86.0,3,342,1
1807,Location 1807,9,4,16.0,87.2,2,4,222.21,70.9,1,401,1
1808,Location 1808,24,3,4.12,68.5,7,1,459.59,91.9,2,462,1
1809,Location 1809,3,3,9.68,95.1,5,1,230.56,65.7,1,211,4
1810,Location 1810,9,5,1.25,96.4,1,2,374.71,73.9,2,26,3
1811,Location 1811,3,1,22.83,34.9,3,5,238.81,79.2,3,252,3
1812,Location 1812,25,1,5.13,61.9,3,5,121.62,54.2,3,3,2
1813,Location 1813,2,2,34.45,72.7,7,5,107.68,50.0,2,2,4
1814,Location 1814,12,5,12.55,47.9,2,3,218.46,82.7,1,604,2
1815,Location 1815,10,4,47.24,58.5,7,2,380.19,71.9,2,2,6
1816,Location 1816,9,5,43.69,77.4,2,5,306.49,74.8,1,150,2
1817,Location 1817,15,2,15.18,45.9,5,5,347.43,89.8,2,583,2
1818,Location 1818,8,5,39.38,72.1,4,2,148.34,56.7,3,4,2
1819,Location 1819,25,5,40.36,78.8,1,1,245.9,69.8,1,497,1
1820,Location 1820,5,2,49.34,36.3,6,5,31.75,52.1,3,550,6
1821,Location 1821,11,1,30.29,64.8,4,1,410.59,92.5,1,468,2
1822,Location 1822,2,4,5.02,48.4,4,5,495.05,95.0,2,70,3
1823,Location 1823,24,2,32.7,80.7,2,4,209.37,63.7,3,201,2
1824,Location 1824,15,3,31.62,43.3,2,3,15.37,59.1,3,308,1
1825,Location 1825,6,1,32.28,92.5,2,5,93.2,50.4,1,252,5
1826,Location 1826,8,3,16.05,60.2,4,4,329.74,83.8,1,287,6
1827,Location 1827,5,1,43.12,43.9,7,2,309.92,76.7,1,292,5
1828,Location 1828,16,4,48.01,60.7,1,4,396.05,77.9,3,154,5
1829,Location 1829,26,4,11.67,58.6,7,2,134.4,55.1,2,133,6
1830,Location 1830,18,5,5.32,60.0,2,5,384.18,95.0,1,586,4
1831,Location 1831,6,3,10.53,71.0,3,2,347.11,79.2,2,274,3
1832,Location 1832,5,1,41.21,66.5,7,4,168.18,65.1,1,697,1
1833,Location 1833,16,4,34.16,40.5,1,3,277.29,82.8,2,509,6
1834,Location 1834,13,2,32.17,34.6,3,1,82.16,69.3,1,353,5
